0	hastype
1	isAffiliatedTo
2	playsFor
3	isLocatedIn
4	wasBornIn
5	isConnectedTo
6	hasGender
7	hasWonPrize
8	isCitizenOf
9	hasCapital
10	hasMusicalRole
11	graduatedFrom
12	hasWebsite
13	isMarriedTo
14	influences
15	diedIn
16	isLeaderOf
17	happenedIn
18	created
19	dealsWith
20	imports
21	edited
22	worksAt
23	actedIn
24	hasNeighbor
25	participatedIn
26	wroteMusicFor
27	hasChild
28	owns
29	livesIn
30	hasCurrency
31	isPoliticianOf
32	hasAcademicAdvisor
33	directed
34	hasOfficialLanguage
35	exports
36	isInterestedIn
37	isKnownFor
